date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:37	33486/33486	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:40:36%20GMT	https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/Feedback_Systems__An_Introduction_for_Scientists_and_Engineers.html	(from )
21:40:38	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:40:37%20GMT	https://fbswiki.org/robots.txt		(from )
21:40:47	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:40:39%20GMT	https://fbswiki.org/downloads/fbs-public_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/downloads/fbs-public_24Jul2020.pdf	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:40:55	21347/21347	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:40:47%20GMT	https://fbswiki.org/wiki/index.php/Errata	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/Errata.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:40:59	21257/21257	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:40:51%20GMT	https://fbswiki.org/wiki/index.php/Karl_J._%c3%85str%c3%b6m	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/Karl_J.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:03	20613/20613	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:40:55%20GMT	https://fbswiki.org/wiki/index.php/User:Murray	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/User_Murray.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:03	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:40:59%20GMT	http://www.cds.caltech.edu/~murray/books/AM08/pdf/{{{2}}}_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/www.cds.caltech.edu/_murray/books/AM08/pdf/{{{2}}}_24Jul2020.6.delayed	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:11	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:41:03%20GMT	https://fbswiki.org/downloads/{{{2}}}_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/downloads/{{{2}}}_24Jul2020.7.delayed	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:17	21228/21228	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:41:11%20GMT	https://fbswiki.org/wiki/index.php/16_Nov_2024:_Python_figure_sources_updated_for_python-control_v0.10.1	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/16_Nov_2024__Python_figure_sources_updated_for_python-control_v0.10.8.dela	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:17	21686/21686	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:41:11%20GMT	https://fbswiki.org/wiki/index.php/28_Aug_2021:_Links_to_first_edition_supplemental_information_added_to_chapter_pages	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/28_Aug_2021__Links_to_first_edition_supplemental_information_added_to_chap	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:19	40089/40089	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:41:11%20GMT	https://fbswiki.org/wiki/index.php/Preface	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/Preface.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:21	21279/21279	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:41:18%20GMT	https://fbswiki.org/wiki/index.php/24_Jul_2020:_Copyedited_version_of_FBS2e_now_available_for_download	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/24_Jul_2020__Copyedited_version_of_FBS2e_now_available_for_download.a.dela	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:27	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:41:19%20GMT	https://fbswiki.org/downloads/fbs-frontmatter_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/downloads/fbs-frontmatter_24Jul2020.d.delayed	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:35	32382/32382	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:41:27%20GMT	https://fbswiki.org/wiki/index.php/Introduction	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/Introduction.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:43	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:41:35%20GMT	https://fbswiki.org/downloads/fbs-intro_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/downloads/fbs-intro_24Jul2020.10.delayed	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:41:49	26473/26473	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:41:43%20GMT	https://fbswiki.org/wiki/index.php/Feedback_Principles	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/Feedback_Principles.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:42:19	335754/335754	---M--	200	added ('OK')	application/pdf	etag:%2251f8a-5ab3d316f4ee4%22	http://www.cds.caltech.edu/~murray/books/AM08/pdf/fbs-frontmatter_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/www.cds.caltech.edu/_murray/books/AM08/pdf/fbs-frontmatter_24Jul2020.pdf	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:42:27	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:42:19%20GMT	https://fbswiki.org/downloads/fbs-principles_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/downloads/fbs-principles_24Jul2020.13.delayed	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:42:34	45706/45706	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2019:42:27%20GMT	https://fbswiki.org/wiki/index.php/System_Modeling	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/wiki/index.php/System_Modeling.html	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:48:29	2351839/2351839	---M--	200	added ('OK')	application/pdf	etag:%2223e2df-5ab3d31ed535f%22	http://www.cds.caltech.edu/~murray/books/AM08/pdf/fbs-principles_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/www.cds.caltech.edu/_murray/books/AM08/pdf/fbs-principles_24Jul2020.pdf	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
21:48:39	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2019:48:29%20GMT	https://fbswiki.org/downloads/fbs-modeling_24Jul2020.pdf	/Users/lukaswoodtli/Development/control-systems/books/Feedback%20Systems:%20An%20Introduction%20for%20Scientists%20and%20Engineers%20-%20Murray%20-%20Astr%c3%b6m/fbswiki.org/downloads/fbs-modeling_24Jul2020.16.delayed	(from https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers)
