time,coolant (degF),catalyst (degF),speed (mph),engine
2025-08-02 06:21:25.185,48.2,47.66,0.0,0
2025-08-02 06:21:25.404,48.2,47.66,0.0,0
2025-08-02 06:21:25.639,48.2,47.66,0.0,0
2025-08-02 06:21:25.806,48.2,47.66,0.0,0
2025-08-02 06:21:25.891,48.2,47.66,0.0,0
2025-08-02 06:21:30.429,48.2,47.66,0.0,0
2025-08-02 06:21:30.534,48.2,47.66,0.0,0
2025-08-02 06:21:34.962,48.2,47.66,0.0,0
2025-08-02 06:21:35.272,48.2,47.66,0.0,0
2025-08-02 06:21:35.400,48.2,47.66,0.0,0
2025-08-02 06:21:37.319,48.2,47.66,0.0,0
2025-08-02 06:21:37.398,48.2,47.66,0.0,0
2025-08-02 06:21:37.684,48.2,47.66,0.0,0
2025-08-02 06:21:38.624,48.2,47.66,0.0,0
2025-08-02 06:21:38.927,48.2,47.66,0.0,0
2025-08-02 06:21:39.139,48.2,47.66,0.0,0
2025-08-02 06:21:39.367,48.2,47.66,0.0,0
2025-08-02 06:21:39.587,48.2,47.66,0.0,0
2025-08-02 06:21:39.739,48.2,47.66,0.0,0
2025-08-02 06:21:39.888,48.2,47.66,0.0,0
2025-08-02 06:21:40.036,48.2,47.66,0.0,0
2025-08-02 06:21:40.162,48.2,47.66,0.0,0
2025-08-02 06:21:40.307,48.2,47.66,0.0,0
2025-08-02 06:21:44.960,48.2,47.66,0.0,0
2025-08-02 06:21:45.142,48.2,47.66,0.0,0
2025-08-02 06:21:49.594,48.2,47.66,0.0,0
2025-08-02 06:21:49.818,48.2,47.66,0.0,0
2025-08-02 06:21:49.917,48.2,47.66,0.0,0
2025-08-02 06:21:51.451,48.2,47.66,0.0,0
2025-08-02 06:21:51.642,48.2,47.66,0.0,0
2025-08-02 06:21:52.172,48.2,47.66,0.0,0
2025-08-02 06:21:53.234,48.2,47.66,0.0,0
2025-08-02 06:21:53.569,48.2,47.66,0.0,0
2025-08-02 06:21:53.773,48.2,47.66,0.0,0
2025-08-02 06:21:53.988,48.2,47.66,0.0,0
2025-08-02 06:21:54.234,48.2,47.66,0.0,0
2025-08-02 06:21:54.452,48.2,47.66,0.0,0
2025-08-02 06:21:54.641,48.2,47.66,0.0,0
2025-08-02 06:21:54.776,48.2,47.66,0.0,0
2025-08-02 06:21:54.838,48.2,47.66,0.0,0
2025-08-02 06:21:59.453,48.2,47.66,0.0,0
2025-08-02 06:21:59.566,48.2,47.66,0.0,0
2025-08-02 06:22:03.846,48.2,47.66,0.0,0
2025-08-02 06:22:04.104,48.2,47.66,0.0,0
2025-08-02 06:22:04.245,48.2,47.66,0.0,0
2025-08-02 06:22:05.841,48.2,47.66,0.0,0
2025-08-02 06:22:06.004,48.2,47.66,0.0,0
2025-08-02 06:22:06.294,48.2,47.66,0.0,0
2025-08-02 06:22:07.690,48.2,47.66,0.0,0
2025-08-02 06:22:08.052,48.2,47.66,0.0,0
2025-08-02 06:22:08.197,48.2,47.66,0.0,0
2025-08-02 06:22:08.411,48.2,47.66,0.0,0
2025-08-02 06:22:08.576,48.2,47.48,0.0,0
2025-08-02 06:22:08.769,48.2,47.48,0.0,0
2025-08-02 06:22:08.893,48.2,47.48,0.0,0
2025-08-02 06:22:08.966,48.2,47.48,0.0,0
2025-08-02 06:22:13.602,48.2,47.48,0.0,0
2025-08-02 06:22:13.672,48.2,47.48,0.0,0
2025-08-02 06:22:17.943,48.2,47.48,0.0,0
2025-08-02 06:22:18.207,48.2,47.48,0.0,0
2025-08-02 06:22:18.341,48.2,47.48,0.0,0
2025-08-02 06:22:19.945,48.2,47.48,0.0,0
2025-08-02 06:22:20.025,48.2,47.48,0.0,0
2025-08-02 06:22:21.575,48.2,47.48,0.0,0
2025-08-02 06:22:22.111,48.2,47.48,0.0,0
2025-08-02 06:22:22.304,48.2,47.48,0.0,0
2025-08-02 06:22:22.525,48.2,47.48,0.0,0
2025-08-02 06:22:22.651,48.2,47.48,0.0,0
2025-08-02 06:22:22.852,48.2,47.48,0.0,0
2025-08-02 06:22:23.063,48.2,47.48,0.0,0
2025-08-02 06:22:23.265,48.2,47.48,0.0,0
2025-08-02 06:22:23.332,48.2,47.48,0.0,0
2025-08-02 06:22:27.908,48.2,47.48,0.0,0
2025-08-02 06:22:27.979,48.2,47.48,0.0,0
2025-08-02 06:22:32.365,48.2,47.48,0.0,0
2025-08-02 06:22:32.657,48.2,47.48,0.0,0
2025-08-02 06:22:32.758,48.2,47.48,0.0,0
2025-08-02 06:22:34.414,48.2,47.48,0.0,0
2025-08-02 06:22:34.481,48.2,47.48,0.0,0
2025-08-02 06:22:34.738,48.2,47.48,0.0,0
2025-08-02 06:22:35.825,48.2,47.48,0.0,0
2025-08-02 06:22:36.188,48.2,47.48,0.0,0
2025-08-02 06:22:36.367,48.2,47.48,0.0,0
2025-08-02 06:22:36.587,48.2,47.48,0.0,0
2025-08-02 06:22:36.850,48.2,47.48,0.0,0
2025-08-02 06:22:37.059,48.2,47.48,0.0,0
2025-08-02 06:22:37.253,48.2,47.48,0.0,0
2025-08-02 06:22:37.302,48.2,47.48,0.0,0
2025-08-02 06:22:41.582,48.2,47.48,0.0,0
2025-08-02 06:22:41.723,48.2,47.48,0.0,0
2025-08-02 06:22:46.455,48.2,47.48,0.0,0
2025-08-02 06:22:46.565,48.2,47.48,0.0,0
2025-08-02 06:22:48.761,48.2,47.48,0.0,0
2025-08-02 06:22:48.905,48.2,47.48,0.0,0
2025-08-02 06:22:50.321,48.2,47.48,0.0,0
2025-08-02 06:22:50.574,48.2,47.48,0.0,0
2025-08-02 06:22:50.796,48.2,47.48,0.0,0
2025-08-02 06:22:51.172,48.2,47.48,0.0,0
2025-08-02 06:22:51.376,48.2,47.3,0.0,0
2025-08-02 06:22:51.784,48.2,47.3,0.0,0
2025-08-02 06:22:51.918,48.2,47.3,0.0,0
2025-08-02 06:22:56.909,48.2,47.3,0.0,0
2025-08-02 06:22:57.190,48.2,47.3,0.0,0
2025-08-02 06:23:01.436,48.2,47.3,0.0,0
2025-08-02 06:23:01.929,48.2,47.3,0.0,0
2025-08-02 06:23:02.141,48.2,47.3,0.0,0
2025-08-02 06:23:03.831,48.2,47.3,0.0,0
2025-08-02 06:23:03.904,48.2,47.3,0.0,0
2025-08-02 06:23:04.182,48.2,47.3,0.0,0
2025-08-02 06:23:05.289,48.2,47.3,0.0,0
2025-08-02 06:23:05.649,48.2,47.3,0.0,0
2025-08-02 06:23:05.742,48.2,47.3,0.0,0
2025-08-02 06:23:05.934,48.2,47.3,0.0,0
2025-08-02 06:23:06.091,48.2,47.3,0.0,0
2025-08-02 06:23:06.225,48.2,47.3,0.0,0
2025-08-02 06:23:06.328,48.2,47.3,0.0,0
2025-08-02 06:23:06.577,48.2,47.3,0.0,0
2025-08-02 06:23:06.847,48.2,47.3,0.0,0
2025-08-02 06:23:07.259,48.2,47.3,0.0,0
2025-08-02 06:23:07.425,48.2,47.3,0.0,0
2025-08-02 06:23:07.564,48.2,47.3,0.0,0
2025-08-02 06:23:07.631,48.2,47.3,0.0,0
2025-08-02 06:23:07.730,48.2,47.3,0.0,0
2025-08-02 06:23:07.871,48.2,47.3,0.0,0
2025-08-02 06:23:07.932,48.2,47.3,0.0,0
2025-08-02 06:23:12.607,48.2,47.3,0.0,0
2025-08-02 06:23:12.709,48.2,47.3,0.0,0
2025-08-02 06:23:17.102,48.2,47.3,0.0,0
2025-08-02 06:23:17.411,48.2,47.3,0.0,0
2025-08-02 06:23:17.565,48.2,47.3,0.0,0
2025-08-02 06:23:19.404,48.2,47.3,0.0,0
2025-08-02 06:23:19.567,48.2,47.3,0.0,0
2025-08-02 06:23:19.854,48.2,47.3,0.0,0
2025-08-02 06:23:21.108,48.2,47.3,0.0,0
2025-08-02 06:23:21.438,48.2,47.3,0.0,0
2025-08-02 06:23:21.653,48.2,47.3,0.0,0
2025-08-02 06:23:21.784,48.2,47.3,0.0,0
2025-08-02 06:23:21.994,48.2,47.3,0.0,0
2025-08-02 06:23:22.178,48.2,47.3,0.0,0
2025-08-02 06:23:22.282,48.2,47.3,0.0,0
2025-08-02 06:23:22.411,48.2,47.3,0.0,0
2025-08-02 06:23:22.493,48.2,47.3,0.0,0
2025-08-02 06:23:22.703,48.2,47.3,0.0,0
2025-08-02 06:23:22.944,48.2,47.3,0.0,0
2025-08-02 06:23:23.184,48.2,47.3,0.0,0
2025-08-02 06:23:23.336,48.2,47.3,0.0,0
2025-08-02 06:23:23.465,48.2,47.3,0.0,0
2025-08-02 06:23:23.570,48.2,47.3,0.0,0
2025-08-02 06:23:23.721,48.2,47.3,0.0,0
2025-08-02 06:23:23.894,48.2,47.3,0.0,0
2025-08-02 06:23:23.963,48.2,47.3,0.0,0
2025-08-02 06:23:28.567,48.2,47.3,0.0,0
2025-08-02 06:23:28.635,48.2,47.3,0.0,0
2025-08-02 06:23:32.777,48.2,47.3,0.0,0
2025-08-02 06:23:33.007,48.2,47.3,0.0,0
2025-08-02 06:23:33.235,48.2,47.3,0.0,0
2025-08-02 06:23:33.446,48.2,47.3,0.0,0
2025-08-02 06:24:14.017,48.2,47.3,0.0,0
2025-08-02 06:24:14.111,48.2,47.3,0.0,0
2025-08-02 06:24:14.255,48.2,47.3,0.0,0
2025-08-02 06:24:14.321,48.2,47.3,0.0,0
2025-08-02 06:24:14.418,48.2,47.3,0.0,0
2025-08-02 06:24:14.568,48.2,47.3,0.0,0
2025-08-02 06:24:14.642,48.2,47.3,0.0,0
2025-08-02 06:24:14.730,48.2,47.3,0.0,0
2025-08-02 06:24:14.800,48.2,47.3,0.0,0
2025-08-02 06:24:14.867,48.2,47.3,0.0,0
2025-08-02 06:24:14.964,48.2,47.3,0.0,0
2025-08-02 06:24:15.136,48.2,47.3,0.0,0
2025-08-02 06:24:15.265,48.2,47.3,0.0,0
2025-08-02 06:24:15.387,48.2,47.3,0.0,0
2025-08-02 06:24:15.528,48.2,47.3,0.0,0
2025-08-02 06:24:15.676,48.2,47.3,0.0,0
2025-08-02 06:24:15.774,48.2,47.3,0.0,0
2025-08-02 06:24:15.917,48.2,47.3,0.0,0
2025-08-02 06:24:16.057,48.2,47.3,0.0,0
2025-08-02 06:24:16.122,48.2,47.3,0.0,0
2025-08-02 06:24:16.213,48.2,47.3,0.0,0
2025-08-02 06:24:16.430,48.2,47.3,0.0,0
2025-08-02 06:24:16.497,48.2,47.3,0.0,0
2025-08-02 06:24:16.705,48.2,47.3,0.0,0
2025-08-02 06:24:16.911,48.2,47.3,0.0,0
2025-08-02 06:24:17.108,48.2,47.3,0.0,0
2025-08-02 06:24:21.323,48.2,47.12,0.0,0
2025-08-02 06:24:21.468,48.2,47.12,0.0,0
2025-08-02 06:24:21.656,48.2,47.12,0.0,0
2025-08-02 06:24:21.859,48.2,47.12,0.0,0
2025-08-02 06:24:22.063,48.2,47.12,0.0,0
2025-08-02 06:24:22.275,48.2,47.12,0.0,0
2025-08-02 06:24:22.425,48.2,47.12,0.0,0
2025-08-02 06:24:22.581,48.2,47.12,0.0,0
2025-08-02 06:24:22.729,48.2,47.12,0.0,0
2025-08-02 06:24:22.881,48.2,47.12,0.0,0
2025-08-02 06:24:23.030,48.2,47.12,0.0,0
2025-08-02 06:24:23.148,48.2,47.12,0.0,0
2025-08-02 06:24:23.294,48.2,47.12,0.0,0
2025-08-02 06:24:23.447,48.2,47.12,0.0,0
2025-08-02 06:24:23.595,48.2,47.12,0.0,0
2025-08-02 06:24:23.736,48.2,47.12,0.0,0
2025-08-02 06:24:23.883,48.2,47.12,0.0,0
2025-08-02 06:24:24.055,48.2,47.12,0.0,0
2025-08-02 06:24:24.200,48.2,47.12,0.0,0
2025-08-02 06:24:24.323,48.2,47.12,0.0,0
2025-08-02 06:24:24.468,48.2,47.12,0.0,0
2025-08-02 06:24:24.613,48.2,47.12,0.0,0
2025-08-02 06:24:24.756,48.2,47.12,0.0,0
2025-08-02 06:24:24.921,48.2,47.12,0.0,0
2025-08-02 06:24:25.042,48.2,47.12,0.0,0
2025-08-02 06:24:25.183,48.2,47.12,0.0,0
2025-08-02 06:24:25.336,48.2,47.12,0.0,0
2025-08-02 06:24:25.481,48.2,47.12,0.0,0
2025-08-02 06:24:25.622,48.2,47.12,0.0,0
2025-08-02 06:24:25.772,48.2,47.12,0.0,0
2025-08-02 06:24:25.943,48.2,47.12,0.0,0
2025-08-02 06:24:26.062,48.2,47.12,0.0,0
2025-08-02 06:24:26.204,48.2,47.12,0.0,0
2025-08-02 06:24:26.349,48.2,47.12,0.0,0
2025-08-02 06:24:26.468,48.2,47.12,0.0,0
2025-08-02 06:24:26.625,48.2,47.12,0.0,0
2025-08-02 06:24:26.893,48.2,47.12,0.0,0
2025-08-02 06:24:27.098,48.2,47.12,0.0,0
2025-08-02 06:24:27.218,48.2,47.12,0.0,0
2025-08-02 06:24:27.369,48.2,47.12,0.0,0
2025-08-02 06:24:27.495,48.2,47.12,0.0,0
2025-08-02 06:24:27.639,48.2,47.12,0.0,0
2025-08-02 06:24:27.779,48.2,47.12,0.0,0
2025-08-02 06:24:27.947,48.2,47.12,0.0,0
2025-08-02 06:24:28.074,48.2,47.12,0.0,0
2025-08-02 06:24:28.222,48.2,47.12,0.0,0
2025-08-02 06:24:28.367,48.2,47.12,0.0,0
2025-08-02 06:24:28.519,48.2,47.12,0.0,0
2025-08-02 06:24:28.644,48.2,47.12,0.0,0
2025-08-02 06:24:28.784,48.2,47.12,0.0,0
2025-08-02 06:24:28.932,48.2,47.12,0.0,0
2025-08-02 06:24:29.075,48.2,47.12,0.0,0
2025-08-02 06:24:29.194,48.2,47.12,0.0,0
2025-08-02 06:24:29.349,48.2,47.12,0.0,0
2025-08-02 06:24:29.495,48.2,47.12,0.0,0
2025-08-02 06:24:29.620,48.2,47.12,0.0,0
2025-08-02 06:24:29.925,48.2,47.12,0.0,0
2025-08-02 06:24:30.077,48.2,47.12,0.0,0
2025-08-02 06:24:30.225,48.2,47.12,0.0,0
2025-08-02 06:24:30.342,48.2,47.12,0.0,0
2025-08-02 06:24:30.492,48.2,47.12,0.0,0
2025-08-02 06:24:30.648,48.2,47.12,0.0,0
2025-08-02 06:24:30.768,48.2,47.12,0.0,0
2025-08-02 06:24:30.910,48.2,47.12,0.0,0
2025-08-02 06:24:31.056,48.2,47.12,0.0,0
2025-08-02 06:24:31.198,48.2,47.12,0.0,0
2025-08-02 06:24:31.341,48.2,47.12,0.0,0
2025-08-02 06:24:31.486,48.2,47.12,0.0,0
2025-08-02 06:24:31.639,48.2,47.12,0.0,0
2025-08-02 06:24:31.847,48.2,47.12,0.0,0
2025-08-02 06:24:32.041,48.2,47.12,0.0,0
2025-08-02 06:24:32.203,48.2,47.12,0.0,0
2025-08-02 06:24:32.360,48.2,47.12,0.0,0
2025-08-02 06:24:32.503,48.2,47.12,0.0,0
2025-08-02 06:24:32.629,48.2,47.12,0.0,0
2025-08-02 06:24:32.776,48.2,47.12,0.0,0
2025-08-02 06:24:32.924,48.2,47.12,0.0,0
2025-08-02 06:24:33.050,48.2,47.12,0.0,0
2025-08-02 06:24:33.193,48.2,47.12,0.0,0
2025-08-02 06:24:33.332,48.2,47.12,0.0,0
2025-08-02 06:24:33.447,48.2,47.12,0.0,0
2025-08-02 06:24:33.617,48.2,47.12,0.0,0
2025-08-02 06:24:33.769,48.2,47.12,0.0,0
2025-08-02 06:24:33.926,48.2,47.12,0.0,0
2025-08-02 06:24:34.070,48.2,47.12,0.0,0
2025-08-02 06:24:34.200,48.2,47.12,0.0,0
2025-08-02 06:24:34.327,48.2,47.12,0.0,0
2025-08-02 06:24:34.494,48.2,47.12,0.0,0
2025-08-02 06:24:34.639,48.2,47.12,0.0,0
2025-08-02 06:24:34.782,48.2,47.12,0.0,0
2025-08-02 06:24:35.001,48.2,47.12,0.0,0
2025-08-02 06:24:35.144,48.2,47.12,0.0,0
2025-08-02 06:24:35.263,48.2,47.12,0.0,0
2025-08-02 06:24:35.408,48.2,47.12,0.0,0
2025-08-02 06:24:35.550,48.2,47.12,0.0,0
2025-08-02 06:24:35.694,48.2,47.12,0.0,0
2025-08-02 06:24:35.827,48.2,47.12,0.0,0
2025-08-02 06:24:35.968,48.2,47.12,0.0,0
2025-08-02 06:24:36.099,48.2,47.12,0.0,0
2025-08-02 06:24:36.243,48.2,47.12,0.0,0
2025-08-02 06:24:36.417,48.2,47.12,0.0,0
2025-08-02 06:24:36.584,48.2,47.12,0.0,0
2025-08-02 06:24:36.781,48.2,47.12,0.0,0
2025-08-02 06:24:36.983,48.2,47.12,0.0,0
2025-08-02 06:24:37.201,48.2,47.12,0.0,0
2025-08-02 06:24:37.341,48.2,47.12,0.0,0
2025-08-02 06:24:37.508,48.2,47.12,0.0,0
2025-08-02 06:24:37.630,48.2,47.12,0.0,0
2025-08-02 06:24:37.774,48.2,47.12,0.0,0
2025-08-02 06:24:37.893,48.2,47.12,0.0,0
2025-08-02 06:24:38.060,48.2,47.12,0.0,0
2025-08-02 06:24:38.210,48.2,46.94,0.0,0
2025-08-02 06:24:38.389,48.2,46.94,0.0,0
2025-08-02 06:24:38.536,48.2,46.94,0.0,0
2025-08-02 06:24:38.688,48.2,46.94,0.0,0
2025-08-02 06:24:38.841,48.2,46.94,0.0,0
2025-08-02 06:24:38.992,48.2,46.94,0.0,0
2025-08-02 06:24:39.142,48.2,46.94,0.0,0
2025-08-02 06:24:39.294,48.2,46.94,0.0,0
2025-08-02 06:24:39.495,48.2,46.94,0.0,0
2025-08-02 06:24:39.641,48.2,46.94,0.0,0
2025-08-02 06:24:39.765,48.2,46.94,0.0,0
2025-08-02 06:24:39.914,48.2,46.94,0.0,0
2025-08-02 06:24:40.069,48.2,46.94,0.0,0
2025-08-02 06:24:40.221,48.2,46.94,0.0,0
2025-08-02 06:24:40.372,48.2,46.94,0.0,0
2025-08-02 06:24:40.522,48.2,46.94,0.0,0
2025-08-02 06:24:40.673,48.2,46.94,0.0,0
2025-08-02 06:24:40.866,48.2,46.94,0.0,0
2025-08-02 06:24:41.009,48.2,46.94,0.0,0
2025-08-02 06:24:41.131,48.2,46.94,0.0,0
2025-08-02 06:24:41.301,48.2,46.94,0.0,0
2025-08-02 06:24:41.448,48.2,46.94,0.0,0
2025-08-02 06:24:41.560,48.2,46.94,0.0,0
2025-08-02 06:24:41.838,48.2,46.94,0.0,0
2025-08-02 06:24:41.970,48.2,46.94,0.0,0
2025-08-02 06:24:42.172,48.2,46.94,0.0,0
2025-08-02 06:24:42.323,48.2,46.94,0.0,0
2025-08-02 06:24:42.472,48.2,46.94,0.0,0
2025-08-02 06:24:42.587,48.2,46.94,0.0,0
2025-08-02 06:24:42.729,48.2,46.94,0.0,0
2025-08-02 06:24:42.881,48.2,46.94,0.0,0
2025-08-02 06:24:43.012,48.2,46.94,0.0,0
2025-08-02 06:24:43.159,48.2,46.94,0.0,0
2025-08-02 06:24:43.312,48.2,46.94,0.0,0
2025-08-02 06:24:43.455,48.2,46.94,0.0,0
2025-08-02 06:24:43.584,48.2,46.94,0.0,0
2025-08-02 06:24:43.726,48.2,46.94,0.0,0
2025-08-02 06:24:43.880,48.2,46.94,0.0,0
2025-08-02 06:24:44.003,48.2,46.94,0.0,0
2025-08-02 06:24:44.162,48.2,46.94,0.0,0
2025-08-02 06:24:44.294,48.2,46.94,0.0,0
2025-08-02 06:24:44.443,48.2,46.94,0.0,0
2025-08-02 06:24:44.570,48.2,46.94,0.0,0
2025-08-02 06:24:44.707,48.2,46.94,0.0,0
2025-08-02 06:24:44.854,48.2,46.94,0.0,0
2025-08-02 06:24:44.984,48.2,46.94,0.0,0
2025-08-02 06:24:45.143,48.2,46.94,0.0,0
2025-08-02 06:24:45.299,48.2,46.94,0.0,0
2025-08-02 06:24:45.513,48.2,46.94,0.0,0
2025-08-02 06:24:45.645,48.2,46.94,0.0,0
2025-08-02 06:24:45.795,48.2,46.94,0.0,0
2025-08-02 06:24:45.963,48.2,46.94,0.0,0
2025-08-02 06:24:46.151,48.2,46.94,0.0,1
2025-08-02 06:24:46.305,48.2,46.94,0.0,1
2025-08-02 06:24:46.429,48.2,46.94,0.0,1
2025-08-02 06:24:46.566,48.2,46.94,0.0,1
2025-08-02 06:24:46.777,48.2,47.12,0.0,1
2025-08-02 06:24:47.043,48.2,47.84,0.0,1
2025-08-02 06:24:47.252,48.2,48.92,0.0,1
2025-08-02 06:24:47.373,48.2,49.82,0.0,1
2025-08-02 06:24:47.551,48.2,51.62,0.0,1
2025-08-02 06:24:47.678,48.2,52.7,0.0,1
2025-08-02 06:24:47.826,48.2,54.86,0.0,1
2025-08-02 06:24:47.952,48.2,56.12,0.0,1
2025-08-02 06:24:48.105,48.2,58.64,0.0,1
2025-08-02 06:24:48.236,48.2,60.08,0.0,1
2025-08-02 06:24:48.422,48.2,63.14,0.0,1
2025-08-02 06:24:48.549,48.2,64.94,0.0,1
2025-08-02 06:24:48.697,48.2,68.54,0.0,1
2025-08-02 06:24:48.818,48.2,70.52,0.0,1
2025-08-02 06:24:48.963,48.2,72.86,0.0,1
