time,"# warm-ups since codes cleared ()","A/C pressure (kPa)","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Air:fuel ratio ()","Ambient air temperature (℉)","Average fuel consumption (MPG)","Average fuel consumption (total) (MPG)","Average fuel consumption 10 sec (MPG)","Average speed (mph)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Catalyst temperature Bank 1 Sensor 1 (℉)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (miles)","Distance traveled with MIL on (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","Engine coolant temperature (℉)","Engine RPM (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel rail press. (kPa)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℉)","Knock retard (°)","Lambda ()","Learned octane ()","Long term fuel % trim - Bank 1 (%)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Short term fuel trim (%)","Oxygen sensor 2 Bank 1 Voltage (V)","Power from MAF (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Throttle position (%)","Throttle Position Actually (°)","Throttle Position Desired (°)","Timing advance (°)","Transmission Odometer (℉)","Vane position sensor (V)","Variable camshaft actual advance #1 (°)","Vehicle acceleration (g)","Vehicle speed (mph)",
06:21:24.588,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:24.794,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:21:24.959,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,,,,,0,59,,,,,0,,,,,0.465,0,,,16.8627450980392,,,10,,,,,0,
06:21:25.185,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:25.404,255,,,,,,,,,,,,85,,,,,47.66,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:21:25.639,,,0,,,,,-40,,,,,,,,,,,,,11.751,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,8,,,,,,,,,,,
06:21:25.806,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:25.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:21:30.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:21:30.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:21:34.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:21:35.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:21:35.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:21:37.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:21:37.398,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:37.684,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
06:21:38.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:21:38.927,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:21:39.139,,,,,,,,,,82.9314346073819,,,,,,,0,,,,,,,0,6.31512192545534,,,,,-1,,,,0,0.0761488317490363,0,0.29,,0,59,,,,,0,,,,,0.46,0,,,16.8627450980392,,,10,,,,,0,
06:21:39.367,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:39.587,255,,,,,,,,,,,,85,,,,,47.66,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:21:39.739,,,0,,,,,-40,,,,,,,,,,,,,11.775,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,8,,,,,,,,,,,
06:21:39.888,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:40.036,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:40.162,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:40.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
